Fecha,flujo,tarea_detalle,Usuario,Tareas realizadas
29 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,55
29 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,31
29 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,55
29 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,37
29 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,51
30 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,8
30 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,31
30 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,55
30 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,57
30 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,25
30 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,48
30 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,53
30 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,58
30 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,16
30 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,37
30 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,35
30 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,37
30 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,54
30 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,4
30 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,55
30 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,31
31 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,67
31 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,54
